0,1
8.016,-21.59
9.027,-21.70
10.02,-21.64
15.51,-20.76
19.22,-21.63
19.93,-20.48
20.01,-21.11
20.01,-19.99
20.24,-21.49
20.96,-19.66
22.02,-22.36
22.02,-20.70
22.96,-21.34
24.25,-21.69
24.02,-20.16
25.01,-20.84
27.06,-21.64
28.00,-20.53
29.85,-21.75
30.32,-22.43
30.50,-21.42
31.99,-20.40
33.53,-21.73
32.13,-22.41
33.43,-21.41
36.43,-21.63
39.75,-21.48
39.98,-22.00
45.02,-22.16
46.01,-21.47
48.97,-20.36
53.49,-22.06
53.32,-21.75
56.51,-21.40
56.84,-22.00
59.09,-21.60
70.94,-21.97
73.98,-20.48
89.95,-21.92
104.0,-20.17
124.4,-20.44
30.22,-21.88
29.28,-21.86
30.22,-21.96
30.94,-21.72
31.69,-21.51
25.60,-21.72
23.84,-21.77
20.68,-19.79
60.08,-21.67
39.84,-21.65
